altitude_ft,mach,T_amb_K,P_amb_Pa,max_thrust_N,min_thrust_N
33333.333333333336,0.4444444444444444,222.10999999999996,25793.59148872483,13237.273697643137,1272.8147786195327
33333.333333333336,0.6666666666666666,222.10999999999996,25793.59148872483,14128.244042676812,1272.8147786195327
33333.333333333336,0.8888888888888888,222.10999999999996,25793.59148872483,15019.214387710485,1272.8147786195327
33333.333333333336,1.1111111111111112,222.10999999999996,25793.59148872483,15910.184732744157,1272.8147786195327
33333.333333333336,1.3333333333333333,222.10999999999996,25793.59148872483,16801.15507777783,1272.8147786195327
33333.333333333336,1.5555555555555554,222.10999999999996,25793.59148872483,17692.1254228115,1272.8147786195327
33333.333333333336,1.7777777777777777,222.10999999999996,25793.59148872483,18583.095767845174,1272.8147786195327
33333.333333333336,2.0,222.10999999999996,25793.59148872483,19474.06611287885,1272.8147786195327
38888.88888888889,0.0,216.65,19781.38985125016,8785.221251480456,976.1356946089395
38888.88888888889,0.2222222222222222,216.65,19781.38985125016,9468.516237706714,976.1356946089395
38888.88888888889,0.4444444444444444,216.65,19781.38985125016,10151.811223932971,976.1356946089395
38888.88888888889,0.6666666666666666,216.65,19781.38985125016,10835.106210159229,976.1356946089395
38888.88888888889,0.8888888888888888,216.65,19781.38985125016,11518.401196385486,976.1356946089395
38888.88888888889,1.1111111111111112,216.65,19781.38985125016,12201.696182611744,976.1356946089395
38888.88888888889,1.3333333333333333,216.65,19781.38985125016,12884.991168838002,976.1356946089395
38888.88888888889,1.5555555555555554,216.65,19781.38985125016,13568.28615506426,976.1356946089395
38888.88888888889,1.7777777777777777,216.65,19781.38985125016,14251.581141290517,976.1356946089395
38888.88888888889,2.0,216.65,19781.38985125016,14934.876127516774,976.1356946089395
44444.444444444445,0.0,216.65,15145.7457668742,6726.46000009217,747.3844444546855
44444.444444444445,0.2222222222222222,216.65,15145.7457668742,7249.62911121045,747.3844444546855
44444.444444444445,0.4444444444444444,216.65,15145.7457668742,7772.798222328729,747.3844444546855
44444.444444444445,0.6666666666666666,216.65,15145.7457668742,8295.96733344701,747.3844444546855
44444.444444444445,0.8888888888888888,216.65,15145.7457668742,8819.136444565289,747.3844444546855
44444.444444444445,1.1111111111111112,216.65,15145.7457668742,9342.30555568357,747.3844444546855
44444.444444444445,1.3333333333333333,216.65,15145.7457668742,9865.474666801849,747.3844444546855
44444.444444444445,1.5555555555555554,216.65,15145.7457668742,10388.643777920128,747.3844444546855
44444.444444444445,1.7777777777777777,216.65,15145.7457668742,10911.812889038409,747.3844444546855
44444.444444444445,2.0,216.65,15145.7457668742,11434.98200015669,747.3844444546855
50000.0,0.0,216.65,11596.435668057495,5150.156477301626,572.2396085890696
50000.0,0.2222222222222222,216.65,11596.435668057495,5550.724203313975,572.2396085890696
50000.0,0.4444444444444444,216.65,11596.435668057495,5951.291929326323,572.2396085890696
50000.0,0.6666666666666666,216.65,11596.435668057495,6351.859655338672,572.2396085890696
50000.0,0.8888888888888888,216.65,11596.435668057495,6752.427381351021,572.2396085890696
50000.0,1.1111111111111112,216.65,11596.435668057495,7152.995107363369,572.2396085890696
50000.0,1.3333333333333333,216.65,11596.435668057495,7553.562833375718,572.2396085890696
50000.0,1.5555555555555554,216.65,11596.435668057495,7954.130559388066,572.2396085890696
50000.0,1.7777777777777777,216.65,11596.435668057495,8354.698285400416,572.2396085890696
50000.0,2.0,216.65,11596.435668057495,8755.266011412765,572.2396085890696
