Altitude_ft,ISA_Deviation_K,N2_RPM,Degradation_Index,Fuel_Flow_kgs,P2_Pa,T2_K,P3_Pa,T3_K,W3_kgs,P4_Pa,T4_K,P5_Pa,T5_K,P9_Pa,T9_K,Mach_9,Stall_Margin
0.0,35.0,20000.0,0.2,0.16428571428571428,101325.0,323.15,124074.18872769871,329.76202658065273,0.5258231390197398,119111.22117859076,1328.5714,17866.683176788614,1261.7904128768425,101325.0,1261.7904128768425,0.0,0.7335817612744059
0.0,35.0,28000.0,0.2,0.21000000000000002,101325.0,323.15,166892.56748208503,339.684866356428,0.9902002818188705,160216.86478280163,1420.0,24032.529717420242,1250.9739085658632,101325.0,1250.9739085658632,0.0,0.7905611562117532
0.0,35.0,33000.0,0.2,0.2385714285714286,101325.0,323.15,193654.09017524178,344.774523114158,1.3541553323767679,185907.9265682321,1477.1428,27886.188985234814,1253.3505441093891,101325.0,1253.3505441093891,0.0,0.8162801532710439
0.0,35.0,35000.0,0.2,0.25,101325.0,323.15,204358.72775378008,346.6345262227785,1.515615512199402,196184.37864362888,1500.0,29427.656796544332,1255.6016452334047,101325.0,1255.6016452334047,0.0,0.8249746638664909
0.0,35.0,20000.0,0.5,0.16428571428571428,101325.0,323.15,124074.18872769871,329.76202658065273,0.5258231390197398,119111.22117859076,1328.5714,17866.683176788614,1262.6003892212252,101325.0,1262.6003892212252,0.0,0.7233785095785321
0.0,35.0,28000.0,0.5,0.21000000000000002,101325.0,323.15,166892.56748208503,339.684866356428,0.9902002818188705,160216.86478280163,1420.0,24032.529717420242,1252.990123998029,101325.0,1252.990123998029,0.0,0.7825400941092245
0.0,35.0,33000.0,0.5,0.2385714285714286,101325.0,323.15,193654.09017524178,344.774523114158,1.3541553323767679,185907.9265682321,1477.1428,27886.188985234814,1255.9976012659633,101325.0,1255.9976012659633,0.0,0.8092440740346157
0.0,35.0,35000.0,0.5,0.25,101325.0,323.15,204358.72775378008,346.6345262227785,1.515615512199402,196184.37864362888,1500.0,29427.656796544332,1258.483585606726,101325.0,1258.483585606726,0.0,0.8182715658869097
0.0,35.0,20000.0,0.8,0.16428571428571428,101325.0,323.15,124074.18872769871,329.76202658065273,0.5258231390197398,119111.22117859076,1328.5714,17866.683176788614,1263.4105779879112,101325.0,1263.4105779879112,0.0,0.7123626095175002
0.0,35.0,28000.0,0.8,0.21000000000000002,101325.0,323.15,166892.56748208503,339.684866356428,0.9902002818188705,160216.86478280163,1420.0,24032.529717420242,1255.0076609044793,101325.0,1255.0076609044793,0.0,0.7738801863525122
0.0,35.0,33000.0,0.8,0.2385714285714286,101325.0,323.15,193654.09017524178,344.774523114158,1.3541553323767679,185907.9265682321,1477.1428,27886.188985234814,1258.646926584412,101325.0,1258.646926584412,0.0,0.8016475991067906
